Survey_ID,Survey_Date,Company,Industry,Company_Size_Employees,Respondent_Role,Primary_Product,Primary_Use_Case,Months_Deployed,Licenses_Assigned,NPS_Score,NPS_Category,Verbatim_Comment,Would_Expand,ROI_Realized,Adoption_Rate_Pct
NPS-5125,2024-10-05,Cornerstone Dynamics,Manufacturing,3400,Individual Contributor,Copilot for Sales,Email Drafting,13,411,4,Detractor,Response quality is inconsistent for compliance-sensitive tasks. We need audit trails before we can fully deploy.,No,Minimal,47
NPS-5126,2024-11-26,Cornerstone Dynamics,Manufacturing,3400,Executive/C-Suite,M365 Copilot,Research & Synthesis,18,111,7,Passive,Good product. We'd like to see better integration with our non-Microsoft systems like Salesforce and Workday.,Maybe,Minimal,82
NPS-5127,2024-08-05,Cornerstone Dynamics,Manufacturing,3400,Individual Contributor,Copilot Studio,Presentation Creation,7,390,9,Promoter,Copilot for Finance has transformed our monthly close process. Variance analysis that took 2 days now takes 2 hours.,Yes,Too Early,74
NPS-5128,2024-11-02,Cornerstone Dynamics,Manufacturing,3400,Individual Contributor,Copilot for Sales,Presentation Creation,5,327,9,Promoter,The prompt library we built internally has become a competitive advantage. Copilot is now core to our operating model.,Yes,Moderate,76
NPS-5129,2024-08-03,Cornerstone Dynamics,Manufacturing,3400,IT Admin,Copilot Studio,Meeting Summaries,4,355,8,Passive,Helpful for some use cases but the learning curve for non-technical staff is steeper than we expected.,Yes,Too Early,82
NPS-5130,2024-11-21,Cornerstone Dynamics,Manufacturing,3400,Power User,Copilot for Finance,Workflow Automation,5,137,1,Detractor,The data residency documentation is insufficient for our regulatory requirements. Legal has blocked broader rollout.,No,None,25
NPS-5131,2024-07-19,Cornerstone Dynamics,Manufacturing,3400,Director,Teams Premium,Presentation Creation,14,366,8,Passive,Promising technology. Waiting for the product to mature before expanding our license footprint.,Yes,Too Early,47
NPS-5132,2024-09-18,Cornerstone Dynamics,Manufacturing,3400,Director,Copilot for Finance,Research & Synthesis,3,468,10,Promoter,Meeting summaries alone have saved our executive team 6+ hours per week. The action item tracking is exceptional.,Yes,Minimal,57
NPS-5133,2024-11-26,Cornerstone Dynamics,Manufacturing,3400,Manager,Copilot for Sales,Email Drafting,17,199,7,Passive,Good product. We'd like to see better integration with our non-Microsoft systems like Salesforce and Workday.,Maybe,Too Early,95
NPS-5134,2024-12-11,Cornerstone Dynamics,Manufacturing,3400,Power User,Teams Premium,Meeting Summaries,4,277,4,Detractor,Performance during peak hours is unacceptable for our trading floor use case. Latency is a deal breaker.,No,Too Early,33
NPS-5135,2024-12-13,Cornerstone Dynamics,Manufacturing,3400,Individual Contributor,M365 Copilot,Meeting Summaries,12,481,8,Passive,The output quality is strong but we need better governance tools for enterprise-wide prompt management.,Yes,Minimal,47
NPS-5136,2024-11-28,Cornerstone Dynamics,Manufacturing,3400,Director,Copilot for Sales,Workflow Automation,4,113,9,Promoter,Customer-facing teams have seen measurable improvement in proposal quality and turnaround time. Win rate is up 8%.,Yes,Significant,76
NPS-5137,2024-10-17,Cornerstone Dynamics,Manufacturing,3400,IT Admin,Teams Premium,Data Analysis,13,70,6,Detractor,Onboarding support was inadequate for our scale. We needed a dedicated implementation resource from day one.,Maybe,Minimal,43
NPS-5138,2024-08-27,Cornerstone Dynamics,Manufacturing,3400,Power User,Copilot Studio,Document Analysis,7,210,3,Detractor,Performance during peak hours is unacceptable for our trading floor use case. Latency is a deal breaker.,No,Minimal,31
NPS-5139,2024-08-13,Cornerstone Dynamics,Manufacturing,3400,Power User,Teams Premium,Document Analysis,14,250,1,Detractor,Too many limitations on what Copilot can access within our information-barrier architecture.,No,None,51
NPS-5140,2024-12-26,Cornerstone Dynamics,Manufacturing,3400,Manager,M365 Copilot,Workflow Automation,14,126,10,Promoter,Copilot has fundamentally changed how our Finance team prepares board materials. What took 3 days now takes 4 hours.,Yes,Moderate,65
NPS-5141,2024-10-26,Cornerstone Dynamics,Manufacturing,3400,Executive/C-Suite,M365 Copilot,Document Analysis,13,276,8,Passive,Copilot is useful but adoption has been uneven across departments. Power users love it; casual users rarely engage.,Yes,Too Early,91
NPS-5142,2024-08-25,Cornerstone Dynamics,Manufacturing,3400,Manager,Teams Premium,Email Drafting,8,325,8,Passive,We see value in document analysis and email drafting. Not yet convinced on the more complex reasoning tasks.,Yes,Significant,47
NPS-5143,2024-09-05,Cornerstone Dynamics,Manufacturing,3400,IT Admin,Copilot for Sales,Research & Synthesis,12,464,2,Detractor,The change management burden was significantly underestimated. We need more structured adoption support.,No,Too Early,19
NPS-5144,2024-07-10,Cornerstone Dynamics,Manufacturing,3400,Director,M365 Copilot,Code Generation,16,277,5,Detractor,Response quality is inconsistent for compliance-sensitive tasks. We need audit trails before we can fully deploy.,No,Too Early,21
NPS-5145,2024-11-09,Cornerstone Dynamics,Manufacturing,3400,Individual Contributor,Teams Premium,Document Analysis,6,176,9,Promoter,The prompt library we built internally has become a competitive advantage. Copilot is now core to our operating model.,Yes,Too Early,49
NPS-5146,2024-10-28,Cornerstone Dynamics,Manufacturing,3400,Director,Copilot Studio,Workflow Automation,11,465,9,Promoter,The prompt library we built internally has become a competitive advantage. Copilot is now core to our operating model.,Yes,Significant,83
NPS-5147,2024-10-17,Cornerstone Dynamics,Manufacturing,3400,Executive/C-Suite,Teams Premium,Meeting Summaries,14,271,4,Detractor,The data residency documentation is insufficient for our regulatory requirements. Legal has blocked broader rollout.,No,Minimal,52
NPS-5148,2024-10-28,Cornerstone Dynamics,Manufacturing,3400,Power User,Copilot for Finance,Workflow Automation,13,168,6,Detractor,Onboarding support was inadequate for our scale. We needed a dedicated implementation resource from day one.,Maybe,Minimal,15
NPS-5149,2024-12-03,Cornerstone Dynamics,Manufacturing,3400,IT Admin,M365 Copilot,Presentation Creation,12,165,8,Passive,The output quality is strong but we need better governance tools for enterprise-wide prompt management.,Yes,Moderate,82
NPS-5150,2024-08-23,Cornerstone Dynamics,Manufacturing,3400,Executive/C-Suite,M365 Copilot,Presentation Creation,9,102,10,Promoter,The prompt library we built internally has become a competitive advantage. Copilot is now core to our operating model.,Yes,Too Early,56
NPS-5151,2024-10-15,Cornerstone Dynamics,Manufacturing,3400,Director,M365 Copilot,Meeting Summaries,13,25,9,Promoter,Copilot has fundamentally changed how our Finance team prepares board materials. What took 3 days now takes 4 hours.,Yes,Minimal,90
NPS-5152,2024-12-08,Cornerstone Dynamics,Manufacturing,3400,Manager,Teams Premium,Data Analysis,11,469,9,Promoter,Integration with our existing M365 environment was seamless. Adoption was faster than any technology we've rolled out in 5 years.,Yes,Significant,66
NPS-5153,2024-12-13,Cornerstone Dynamics,Manufacturing,3400,Executive/C-Suite,M365 Copilot,Email Drafting,4,479,4,Detractor,The change management burden was significantly underestimated. We need more structured adoption support.,No,Minimal,29
NPS-5154,2024-11-14,Cornerstone Dynamics,Manufacturing,3400,IT Admin,Copilot Studio,Email Drafting,14,236,10,Promoter,Integration with our existing M365 environment was seamless. Adoption was faster than any technology we've rolled out in 5 years.,Yes,Moderate,61
NPS-5155,2024-10-28,Cornerstone Dynamics,Manufacturing,3400,Individual Contributor,Teams Premium,Workflow Automation,11,188,8,Passive,Helpful for some use cases but the learning curve for non-technical staff is steeper than we expected.,Yes,Moderate,91
NPS-5156,2024-12-09,Cornerstone Dynamics,Manufacturing,3400,Individual Contributor,Copilot Studio,Document Analysis,16,454,8,Passive,Works well for individual productivity but cross-team collaboration features could be stronger.,Yes,Too Early,78
NPS-5157,2024-07-10,Cornerstone Dynamics,Manufacturing,3400,Manager,Copilot for Sales,Code Generation,8,157,8,Passive,Good product. We'd like to see better integration with our non-Microsoft systems like Salesforce and Workday.,Yes,Significant,63
NPS-5158,2024-10-04,Cornerstone Dynamics,Manufacturing,3400,Individual Contributor,Copilot Studio,Data Analysis,15,100,9,Promoter,The ROI is undeniable. Our analysts are spending 40% less time on data prep and more time on actual analysis.,Yes,Too Early,83
NPS-5159,2024-07-02,Cornerstone Dynamics,Manufacturing,3400,Individual Contributor,Teams Premium,Meeting Summaries,9,27,2,Detractor,Onboarding support was inadequate for our scale. We needed a dedicated implementation resource from day one.,No,None,46
NPS-5160,2024-10-04,Cornerstone Dynamics,Manufacturing,3400,IT Admin,Teams Premium,Code Generation,13,307,7,Passive,Good product. We'd like to see better integration with our non-Microsoft systems like Salesforce and Workday.,Maybe,Significant,52
NPS-5161,2024-11-28,Cornerstone Dynamics,Manufacturing,3400,Individual Contributor,Teams Premium,Data Analysis,7,293,9,Promoter,Copilot has fundamentally changed how our Finance team prepares board materials. What took 3 days now takes 4 hours.,Yes,Moderate,90
NPS-5162,2024-09-04,Cornerstone Dynamics,Manufacturing,3400,Manager,Teams Premium,Code Generation,14,183,6,Detractor,Response quality is inconsistent for compliance-sensitive tasks. We need audit trails before we can fully deploy.,Maybe,Minimal,27
NPS-5163,2024-09-13,Cornerstone Dynamics,Manufacturing,3400,IT Admin,Copilot for Sales,Code Generation,9,175,8,Passive,We see value in document analysis and email drafting. Not yet convinced on the more complex reasoning tasks.,Yes,Minimal,79
NPS-5164,2024-11-04,Cornerstone Dynamics,Manufacturing,3400,Executive/C-Suite,Copilot Studio,Research & Synthesis,3,265,9,Promoter,The prompt library we built internally has become a competitive advantage. Copilot is now core to our operating model.,Yes,Minimal,53
NPS-5165,2024-10-13,Cornerstone Dynamics,Manufacturing,3400,Director,Copilot for Finance,Workflow Automation,8,256,8,Passive,Helpful for some use cases but the learning curve for non-technical staff is steeper than we expected.,Yes,Minimal,73
NPS-5166,2024-07-19,Cornerstone Dynamics,Manufacturing,3400,IT Admin,Copilot for Finance,Data Analysis,6,449,9,Promoter,Our legal team uses Copilot to review contracts in a fraction of the time. Risk flagging is remarkably accurate.,Yes,Moderate,76
NPS-5167,2024-09-02,Cornerstone Dynamics,Manufacturing,3400,Manager,Teams Premium,Workflow Automation,3,315,9,Promoter,The ROI is undeniable. Our analysts are spending 40% less time on data prep and more time on actual analysis.,Yes,Significant,49
NPS-5168,2024-09-22,Cornerstone Dynamics,Manufacturing,3400,IT Admin,M365 Copilot,Meeting Summaries,12,315,8,Passive,Promising technology. Waiting for the product to mature before expanding our license footprint.,Yes,Too Early,52
NPS-5169,2024-08-22,Cornerstone Dynamics,Manufacturing,3400,IT Admin,Teams Premium,Workflow Automation,17,119,10,Promoter,Customer-facing teams have seen measurable improvement in proposal quality and turnaround time. Win rate is up 8%.,Yes,Significant,95
NPS-5170,2024-08-02,Cornerstone Dynamics,Manufacturing,3400,Individual Contributor,M365 Copilot,Code Generation,4,211,3,Detractor,Response quality is inconsistent for compliance-sensitive tasks. We need audit trails before we can fully deploy.,No,None,51
NPS-5171,2024-11-24,Cornerstone Dynamics,Manufacturing,3400,Executive/C-Suite,Copilot for Sales,Data Analysis,14,348,9,Promoter,Integration with our existing M365 environment was seamless. Adoption was faster than any technology we've rolled out in 5 years.,Yes,Minimal,82
NPS-5172,2024-08-12,Cornerstone Dynamics,Manufacturing,3400,Executive/C-Suite,Copilot Studio,Code Generation,13,352,9,Promoter,Copilot has fundamentally changed how our Finance team prepares board materials. What took 3 days now takes 4 hours.,Yes,Significant,73
NPS-5173,2024-09-26,Cornerstone Dynamics,Manufacturing,3400,Individual Contributor,Copilot Studio,Document Analysis,4,210,8,Passive,Copilot is useful but adoption has been uneven across departments. Power users love it; casual users rarely engage.,Yes,Moderate,92
NPS-5174,2024-09-01,Cornerstone Dynamics,Manufacturing,3400,Executive/C-Suite,Copilot for Finance,Research & Synthesis,14,445,7,Passive,We see value in document analysis and email drafting. Not yet convinced on the more complex reasoning tasks.,Maybe,Moderate,64
NPS-5175,2024-11-20,Cornerstone Dynamics,Manufacturing,3400,Director,Copilot Studio,Research & Synthesis,6,441,9,Promoter,Copilot has fundamentally changed how our Finance team prepares board materials. What took 3 days now takes 4 hours.,Yes,Minimal,85
NPS-5176,2024-09-03,Vantage Capital LLC,Asset Management,280,IT Admin,M365 Copilot,Meeting Summaries,12,21,6,Detractor,Too many limitations on what Copilot can access within our information-barrier architecture.,Maybe,Minimal,23
NPS-5177,2024-10-24,Vantage Capital LLC,Asset Management,280,Power User,Copilot for Finance,Code Generation,9,27,10,Promoter,Document summarization is exceptional for our M&A due diligence workflows. Game changer for deal speed.,Yes,Significant,53
NPS-5178,2024-11-22,Vantage Capital LLC,Asset Management,280,IT Admin,Teams Premium,Research & Synthesis,3,35,8,Passive,Good product. We'd like to see better integration with our non-Microsoft systems like Salesforce and Workday.,Yes,Moderate,79
NPS-5179,2024-11-14,Vantage Capital LLC,Asset Management,280,Individual Contributor,Copilot for Finance,Research & Synthesis,12,37,7,Passive,The output quality is strong but we need better governance tools for enterprise-wide prompt management.,Maybe,Significant,60
NPS-5180,2024-10-20,Vantage Capital LLC,Asset Management,280,Manager,Copilot for Finance,Meeting Summaries,10,48,5,Detractor,The data residency documentation is insufficient for our regulatory requirements. Legal has blocked broader rollout.,No,Too Early,45
NPS-5181,2024-12-27,Vantage Capital LLC,Asset Management,280,IT Admin,Copilot for Finance,Meeting Summaries,12,23,8,Passive,Works well for individual productivity but cross-team collaboration features could be stronger.,Yes,Significant,52
NPS-5182,2024-08-09,Vantage Capital LLC,Asset Management,280,Power User,Teams Premium,Meeting Summaries,13,56,8,Passive,Copilot is useful but adoption has been uneven across departments. Power users love it; casual users rarely engage.,Yes,Too Early,57
NPS-5183,2024-12-07,Vantage Capital LLC,Asset Management,280,Individual Contributor,Teams Premium,Meeting Summaries,16,16,9,Promoter,Meeting summaries alone have saved our executive team 6+ hours per week. The action item tracking is exceptional.,Yes,Too Early,67
NPS-5184,2024-08-27,Vantage Capital LLC,Asset Management,280,Director,Copilot for Finance,Presentation Creation,10,54,8,Passive,Promising technology. Waiting for the product to mature before expanding our license footprint.,Yes,Moderate,95
NPS-5185,2024-08-22,Vantage Capital LLC,Asset Management,280,Executive/C-Suite,Copilot for Sales,Workflow Automation,6,47,9,Promoter,Our legal team uses Copilot to review contracts in a fraction of the time. Risk flagging is remarkably accurate.,Yes,Minimal,86
NPS-5186,2024-08-17,Vantage Capital LLC,Asset Management,280,Executive/C-Suite,Copilot Studio,Data Analysis,5,39,8,Passive,We see value in document analysis and email drafting. Not yet convinced on the more complex reasoning tasks.,Yes,Too Early,54
NPS-5187,2024-11-12,Vantage Capital LLC,Asset Management,280,Executive/C-Suite,Teams Premium,Workflow Automation,15,23,10,Promoter,The ROI is undeniable. Our analysts are spending 40% less time on data prep and more time on actual analysis.,Yes,Minimal,74
NPS-5188,2024-09-08,Vantage Capital LLC,Asset Management,280,Executive/C-Suite,M365 Copilot,Document Analysis,17,38,8,Passive,Copilot is useful but adoption has been uneven across departments. Power users love it; casual users rarely engage.,Yes,Too Early,60
NPS-5189,2024-07-03,Vantage Capital LLC,Asset Management,280,Individual Contributor,Copilot for Finance,Research & Synthesis,5,18,5,Detractor,Performance during peak hours is unacceptable for our trading floor use case. Latency is a deal breaker.,No,Too Early,53
NPS-5190,2024-07-05,Vantage Capital LLC,Asset Management,280,Director,Copilot for Sales,Presentation Creation,4,31,9,Promoter,The prompt library we built internally has become a competitive advantage. Copilot is now core to our operating model.,Yes,Moderate,60
NPS-5191,2024-10-21,Vantage Capital LLC,Asset Management,280,Executive/C-Suite,M365 Copilot,Code Generation,16,20,8,Passive,We see value in document analysis and email drafting. Not yet convinced on the more complex reasoning tasks.,Yes,Too Early,81
NPS-5192,2024-10-26,Vantage Capital LLC,Asset Management,280,Director,Copilot for Sales,Code Generation,6,23,9,Promoter,Copilot has fundamentally changed how our Finance team prepares board materials. What took 3 days now takes 4 hours.,Yes,Too Early,91
NPS-5193,2024-07-10,Vantage Capital LLC,Asset Management,280,IT Admin,Copilot Studio,Presentation Creation,15,34,1,Detractor,The change management burden was significantly underestimated. We need more structured adoption support.,No,None,17
NPS-5194,2024-09-12,Vantage Capital LLC,Asset Management,280,Individual Contributor,Copilot for Finance,Data Analysis,3,21,7,Passive,Good product. We'd like to see better integration with our non-Microsoft systems like Salesforce and Workday.,Maybe,Too Early,70
NPS-5195,2024-12-15,Vantage Capital LLC,Asset Management,280,Director,Teams Premium,Research & Synthesis,13,37,9,Promoter,The ROI is undeniable. Our analysts are spending 40% less time on data prep and more time on actual analysis.,Yes,Moderate,79
NPS-5196,2024-12-24,Vantage Capital LLC,Asset Management,280,Manager,Copilot for Sales,Workflow Automation,7,12,6,Detractor,Response quality is inconsistent for compliance-sensitive tasks. We need audit trails before we can fully deploy.,Maybe,Too Early,35
NPS-5197,2024-07-02,Vantage Capital LLC,Asset Management,280,Director,Copilot for Finance,Email Drafting,14,26,10,Promoter,The ROI is undeniable. Our analysts are spending 40% less time on data prep and more time on actual analysis.,Yes,Minimal,54
NPS-5198,2024-10-18,Vantage Capital LLC,Asset Management,280,Manager,Copilot Studio,Code Generation,12,23,8,Passive,Helpful for some use cases but the learning curve for non-technical staff is steeper than we expected.,Yes,Significant,53
NPS-5199,2024-10-01,Vantage Capital LLC,Asset Management,280,Power User,M365 Copilot,Presentation Creation,10,13,8,Passive,Copilot is useful but adoption has been uneven across departments. Power users love it; casual users rarely engage.,Yes,Moderate,82
NPS-5200,2024-08-23,Vantage Capital LLC,Asset Management,280,Power User,Copilot for Sales,Email Drafting,13,45,3,Detractor,Too many limitations on what Copilot can access within our information-barrier architecture.,No,Minimal,33
NPS-5201,2024-11-26,Vantage Capital LLC,Asset Management,280,Power User,Teams Premium,Email Drafting,3,22,7,Passive,Promising technology. Waiting for the product to mature before expanding our license footprint.,Maybe,Significant,78
NPS-5202,2024-10-01,Vantage Capital LLC,Asset Management,280,Director,M365 Copilot,Presentation Creation,10,15,10,Promoter,Copilot has fundamentally changed how our Finance team prepares board materials. What took 3 days now takes 4 hours.,Yes,Significant,66
NPS-5203,2024-07-27,Vantage Capital LLC,Asset Management,280,Individual Contributor,M365 Copilot,Workflow Automation,4,39,4,Detractor,Response quality is inconsistent for compliance-sensitive tasks. We need audit trails before we can fully deploy.,No,None,30
NPS-5204,2024-11-08,Vantage Capital LLC,Asset Management,280,Power User,Teams Premium,Presentation Creation,3,28,7,Passive,Works well for individual productivity but cross-team collaboration features could be stronger.,Maybe,Moderate,89
NPS-5205,2024-09-18,Vantage Capital LLC,Asset Management,280,Power User,Copilot for Finance,Workflow Automation,6,46,8,Passive,Copilot is useful but adoption has been uneven across departments. Power users love it; casual users rarely engage.,Yes,Moderate,93
NPS-5206,2024-07-17,Vantage Capital LLC,Asset Management,280,Director,Copilot for Sales,Research & Synthesis,9,17,8,Passive,We see value in document analysis and email drafting. Not yet convinced on the more complex reasoning tasks.,Yes,Minimal,50
NPS-5207,2024-11-20,Vantage Capital LLC,Asset Management,280,Manager,Teams Premium,Presentation Creation,12,51,9,Promoter,The prompt library we built internally has become a competitive advantage. Copilot is now core to our operating model.,Yes,Significant,55
NPS-5208,2024-12-20,Vantage Capital LLC,Asset Management,280,Director,M365 Copilot,Data Analysis,10,45,9,Promoter,The prompt library we built internally has become a competitive advantage. Copilot is now core to our operating model.,Yes,Significant,86
NPS-5209,2024-10-28,Vantage Capital LLC,Asset Management,280,Director,Copilot for Finance,Workflow Automation,13,28,8,Passive,Promising technology. Waiting for the product to mature before expanding our license footprint.,Yes,Minimal,71
NPS-5210,2024-09-26,Vantage Capital LLC,Asset Management,280,Individual Contributor,Copilot Studio,Presentation Creation,9,24,9,Promoter,Our legal team uses Copilot to review contracts in a fraction of the time. Risk flagging is remarkably accurate.,Yes,Too Early,48
NPS-5211,2024-10-08,Vantage Capital LLC,Asset Management,280,Individual Contributor,Copilot for Sales,Research & Synthesis,3,18,10,Promoter,Copilot for Finance has transformed our monthly close process. Variance analysis that took 2 days now takes 2 hours.,Yes,Too Early,80
NPS-5212,2024-12-12,Vantage Capital LLC,Asset Management,280,Director,Copilot for Finance,Code Generation,16,26,8,Passive,Helpful for some use cases but the learning curve for non-technical staff is steeper than we expected.,Yes,Moderate,57
NPS-5213,2024-07-26,Vantage Capital LLC,Asset Management,280,Director,Copilot Studio,Research & Synthesis,7,38,9,Promoter,Document summarization is exceptional for our M&A due diligence workflows. Game changer for deal speed.,Yes,Moderate,80
NPS-5214,2024-12-18,Vantage Capital LLC,Asset Management,280,Individual Contributor,Copilot for Sales,Email Drafting,15,51,9,Promoter,Customer-facing teams have seen measurable improvement in proposal quality and turnaround time. Win rate is up 8%.,Yes,Too Early,78
NPS-5215,2024-11-18,Vantage Capital LLC,Asset Management,280,IT Admin,Copilot for Finance,Email Drafting,11,14,10,Promoter,Meeting summaries alone have saved our executive team 6+ hours per week. The action item tracking is exceptional.,Yes,Moderate,65
NPS-5216,2024-08-14,Vantage Capital LLC,Asset Management,280,Manager,Copilot for Sales,Data Analysis,9,55,1,Detractor,The change management burden was significantly underestimated. We need more structured adoption support.,No,Minimal,51
NPS-5217,2024-07-03,Vantage Capital LLC,Asset Management,280,Manager,Copilot for Sales,Workflow Automation,8,49,10,Promoter,Document summarization is exceptional for our M&A due diligence workflows. Game changer for deal speed.,Yes,Too Early,95
NPS-5218,2024-07-09,Vantage Capital LLC,Asset Management,280,Individual Contributor,Copilot for Sales,Code Generation,13,24,6,Detractor,Onboarding support was inadequate for our scale. We needed a dedicated implementation resource from day one.,Maybe,None,27
NPS-5219,2024-10-26,Vantage Capital LLC,Asset Management,280,Executive/C-Suite,Copilot for Sales,Document Analysis,8,17,9,Promoter,The prompt library we built internally has become a competitive advantage. Copilot is now core to our operating model.,Yes,Moderate,80
NPS-5220,2024-07-16,Vantage Capital LLC,Asset Management,280,Director,M365 Copilot,Research & Synthesis,8,53,8,Passive,Copilot is useful but adoption has been uneven across departments. Power users love it; casual users rarely engage.,Yes,Significant,54
NPS-5221,2024-09-14,Vantage Capital LLC,Asset Management,280,Individual Contributor,Copilot Studio,Code Generation,16,37,9,Promoter,Our legal team uses Copilot to review contracts in a fraction of the time. Risk flagging is remarkably accurate.,Yes,Moderate,51
NPS-5222,2024-09-28,Vantage Capital LLC,Asset Management,280,Director,Copilot for Finance,Email Drafting,10,32,7,Passive,Works well for individual productivity but cross-team collaboration features could be stronger.,Maybe,Too Early,86
NPS-5223,2024-09-02,Vantage Capital LLC,Asset Management,280,Power User,Teams Premium,Code Generation,18,39,7,Passive,Promising technology. Waiting for the product to mature before expanding our license footprint.,Maybe,Minimal,60
NPS-5224,2024-08-15,Vantage Capital LLC,Asset Management,280,Executive/C-Suite,Copilot for Finance,Email Drafting,15,16,10,Promoter,Meeting summaries alone have saved our executive team 6+ hours per week. The action item tracking is exceptional.,Yes,Too Early,89
NPS-5225,2024-08-04,Vantage Capital LLC,Asset Management,280,IT Admin,Copilot for Sales,Meeting Summaries,5,19,9,Promoter,Copilot for Finance has transformed our monthly close process. Variance analysis that took 2 days now takes 2 hours.,Yes,Moderate,53
NPS-5226,2024-10-05,Vantage Capital LLC,Asset Management,280,Manager,Copilot for Sales,Presentation Creation,11,30,3,Detractor,Performance during peak hours is unacceptable for our trading floor use case. Latency is a deal breaker.,No,Too Early,46
NPS-5227,2024-12-16,Vantage Capital LLC,Asset Management,280,Power User,Teams Premium,Document Analysis,16,15,10,Promoter,Our legal team uses Copilot to review contracts in a fraction of the time. Risk flagging is remarkably accurate.,Yes,Significant,88
NPS-5228,2024-08-20,Vantage Capital LLC,Asset Management,280,Director,Teams Premium,Workflow Automation,12,45,8,Passive,Works well for individual productivity but cross-team collaboration features could be stronger.,Yes,Too Early,47
NPS-5229,2024-07-15,Vantage Capital LLC,Asset Management,280,Individual Contributor,Teams Premium,Meeting Summaries,3,11,9,Promoter,Copilot has fundamentally changed how our Finance team prepares board materials. What took 3 days now takes 4 hours.,Yes,Moderate,71
NPS-5230,2024-11-27,Vantage Capital LLC,Asset Management,280,IT Admin,Copilot for Finance,Email Drafting,5,38,4,Detractor,Response quality is inconsistent for compliance-sensitive tasks. We need audit trails before we can fully deploy.,No,Too Early,49
NPS-5231,2024-09-22,Vantage Capital LLC,Asset Management,280,Manager,Copilot for Sales,Workflow Automation,15,45,9,Promoter,The prompt library we built internally has become a competitive advantage. Copilot is now core to our operating model.,Yes,Too Early,73
NPS-5232,2024-10-19,Vantage Capital LLC,Asset Management,280,Manager,M365 Copilot,Meeting Summaries,12,53,3,Detractor,Performance during peak hours is unacceptable for our trading floor use case. Latency is a deal breaker.,No,Minimal,44
NPS-5233,2024-12-14,Vantage Capital LLC,Asset Management,280,Power User,Copilot Studio,Document Analysis,5,24,7,Passive,Copilot is useful but adoption has been uneven across departments. Power users love it; casual users rarely engage.,Maybe,Significant,81
NPS-5234,2024-08-27,Vantage Capital LLC,Asset Management,280,IT Admin,Copilot for Sales,Presentation Creation,7,10,8,Passive,Copilot is useful but adoption has been uneven across departments. Power users love it; casual users rarely engage.,Yes,Significant,68
NPS-5235,2024-11-22,Vantage Capital LLC,Asset Management,280,Executive/C-Suite,Copilot Studio,Research & Synthesis,12,32,9,Promoter,Document summarization is exceptional for our M&A due diligence workflows. Game changer for deal speed.,Yes,Moderate,73
NPS-5236,2024-08-28,Vantage Capital LLC,Asset Management,280,Power User,M365 Copilot,Research & Synthesis,7,53,8,Passive,Copilot is useful but adoption has been uneven across departments. Power users love it; casual users rarely engage.,Yes,Significant,71
NPS-5237,2024-08-21,Vantage Capital LLC,Asset Management,280,Executive/C-Suite,Copilot Studio,Email Drafting,6,52,8,Passive,Helpful for some use cases but the learning curve for non-technical staff is steeper than we expected.,Yes,Significant,89
NPS-5238,2024-08-04,Vantage Capital LLC,Asset Management,280,Executive/C-Suite,Copilot Studio,Research & Synthesis,9,32,9,Promoter,The prompt library we built internally has become a competitive advantage. Copilot is now core to our operating model.,Yes,Minimal,88
NPS-5239,2024-11-25,Fortress Consulting,Professional Services,670,Power User,Copilot for Sales,Document Analysis,8,82,10,Promoter,Customer-facing teams have seen measurable improvement in proposal quality and turnaround time. Win rate is up 8%.,Yes,Moderate,90
NPS-5240,2024-07-02,Fortress Consulting,Professional Services,670,Individual Contributor,Copilot Studio,Meeting Summaries,16,112,9,Promoter,Integration with our existing M365 environment was seamless. Adoption was faster than any technology we've rolled out in 5 years.,Yes,Minimal,64
NPS-5241,2024-07-14,Fortress Consulting,Professional Services,670,Director,Copilot for Sales,Meeting Summaries,17,45,7,Passive,We see value in document analysis and email drafting. Not yet convinced on the more complex reasoning tasks.,Maybe,Moderate,47
NPS-5242,2024-09-26,Fortress Consulting,Professional Services,670,Executive/C-Suite,Teams Premium,Meeting Summaries,5,18,8,Passive,Copilot is useful but adoption has been uneven across departments. Power users love it; casual users rarely engage.,Yes,Significant,70
NPS-5243,2024-07-12,Fortress Consulting,Professional Services,670,Power User,M365 Copilot,Research & Synthesis,3,22,6,Detractor,The data residency documentation is insufficient for our regulatory requirements. Legal has blocked broader rollout.,Maybe,Too Early,55
NPS-5244,2024-09-26,Fortress Consulting,Professional Services,670,IT Admin,Teams Premium,Email Drafting,16,40,10,Promoter,Copilot for Finance has transformed our monthly close process. Variance analysis that took 2 days now takes 2 hours.,Yes,Moderate,95
NPS-5245,2024-07-25,Fortress Consulting,Professional Services,670,Power User,Copilot for Finance,Document Analysis,4,97,4,Detractor,The change management burden was significantly underestimated. We need more structured adoption support.,No,None,26
NPS-5246,2024-08-21,Fortress Consulting,Professional Services,670,IT Admin,Copilot for Sales,Data Analysis,15,88,10,Promoter,Our legal team uses Copilot to review contracts in a fraction of the time. Risk flagging is remarkably accurate.,Yes,Minimal,80
NPS-5247,2024-12-18,Fortress Consulting,Professional Services,670,Director,Copilot for Sales,Email Drafting,10,69,9,Promoter,Copilot has fundamentally changed how our Finance team prepares board materials. What took 3 days now takes 4 hours.,Yes,Too Early,95
NPS-5248,2024-12-15,Fortress Consulting,Professional Services,670,Power User,M365 Copilot,Meeting Summaries,8,45,4,Detractor,The change management burden was significantly underestimated. We need more structured adoption support.,No,Too Early,19
