Company_Name,Industry,Company_Size,LinkedIn_URL,Website_URL,HQ_City,HQ_State,Annual_Revenue_Est,Tech_Stack,Current_AI_Tools,Recent_Signal,Copilot_Licenses_Est,Last_Enriched
Vector Solutions,Legal,51-200,https://linkedin.com/company/vector-solutions,https://www.vectorsolutions.com,Boston,GA,$100M-$500M,Microsoft 365 + SAP,ChatGPT,M&A Activity,0,2024-10-06
Luminary Partners,Financial Services,5001-10000,https://linkedin.com/company/luminary-partners,https://www.luminarypartners.com,Atlanta,CA,$100M-$500M,Google Workspace,Multiple AI Tools,None Detected,200-500,2024-12-17
Horizon Advisors,Logistics,51-200,https://linkedin.com/company/horizon-advisors,https://www.horizonadvisors.com,New York,IL,$50M-$100M,Google Workspace,None Known,New Product Launch,0,2024-11-22
Ironclad Consulting,Technology,501-1000,https://linkedin.com/company/ironclad-consulting,https://www.ironcladconsulting.com,Atlanta,WA,$100M-$500M,Mixed/Legacy,Multiple AI Tools,Digital Transformation Initiative,500+,2024-11-05
Vantage Solutions,Financial Services,5001-10000,https://linkedin.com/company/vantage-solutions,https://www.vantagesolutions.com,Seattle,WA,$1B+,Mixed/Legacy,Multiple AI Tools,Expansion Announcement,<50,2024-11-18
Archway Services,Retail,201-500,https://linkedin.com/company/archway-services,https://www.archwayservices.com,Atlanta,GA,$500M-$1B,Microsoft 365 + SAP,Custom LLM,Digital Transformation Initiative,<50,2024-10-16
Keystone Holdings,Manufacturing,501-1000,https://linkedin.com/company/keystone-holdings,https://www.keystoneholdings.com,Denver,CO,$100M-$500M,Google Workspace,ChatGPT,Series C Funding,0,2024-12-22
Bluestone Enterprises,Logistics,501-1000,https://linkedin.com/company/bluestone-enterprises,https://www.bluestoneenterprises.com,New York,TX,$100M-$500M,Microsoft 365 + Salesforce,Custom LLM,IPO Filing,0,2024-12-07
Meridian Holdings,Legal,10000+,https://linkedin.com/company/meridian-holdings,https://www.meridianholdings.com,Chicago,CA,$100M-$500M,Microsoft 365,None Known,IPO Filing,50-200,2024-11-08
Titan Corp,Financial Services,1001-5000,https://linkedin.com/company/titan-corp,https://www.titancorp.com,Charlotte,CA,$100M-$500M,Microsoft 365,None Known,None Detected,500+,2024-12-04
Apex Services,Retail,10000+,https://linkedin.com/company/apex-services,https://www.apexservices.com,Seattle,CO,$100M-$500M,Microsoft 365 + SAP,ChatGPT,Expansion Announcement,50-200,2024-10-28
Cornerstone Technologies,Retail,201-500,https://linkedin.com/company/cornerstone-technologies,https://www.cornerstonetechnolog.com,Seattle,TX,$100M-$500M,Microsoft 365 + Salesforce,Multiple AI Tools,None Detected,0,2024-11-09
Pacific Resources,Legal,5001-10000,https://linkedin.com/company/pacific-resources,https://www.pacificresources.com,Chicago,NY,$10M-$50M,Microsoft 365 + Salesforce,Microsoft Copilot,Expansion Announcement,50-200,2024-10-26
Atlas Solutions,Manufacturing,10000+,https://linkedin.com/company/atlas-solutions,https://www.atlassolutions.com,San Francisco,NC,$1B+,Microsoft 365 + SAP,Custom LLM,New Product Launch,200-500,2024-11-28
Harbor Holdings,Healthcare,51-200,https://linkedin.com/company/harbor-holdings,https://www.harborholdings.com,San Francisco,CO,$1B+,Mixed/Legacy,ChatGPT,Digital Transformation Initiative,<50,2024-11-12
Ironclad Ventures,Healthcare,1001-5000,https://linkedin.com/company/ironclad-ventures,https://www.ironcladventures.com,Chicago,CA,$50M-$100M,Microsoft 365 + Salesforce,Custom LLM,IPO Filing,0,2024-12-14
Apex Group,Energy,501-1000,https://linkedin.com/company/apex-group,https://www.apexgroup.com,Boston,NC,$500M-$1B,Microsoft 365 + SAP,Multiple AI Tools,Hiring Surge,<50,2024-11-28
Fortress Enterprises,Energy,10000+,https://linkedin.com/company/fortress-enterprises,https://www.fortressenterprises.com,Atlanta,TX,$10M-$50M,Microsoft 365 + SAP,Multiple AI Tools,Leadership Change,200-500,2024-11-18
Fortress Advisors,Manufacturing,5001-10000,https://linkedin.com/company/fortress-advisors,https://www.fortressadvisors.com,San Francisco,NC,$1B+,Google Workspace,Microsoft Copilot,Expansion Announcement,0,2024-11-20
Granite Enterprises,Logistics,1001-5000,https://linkedin.com/company/granite-enterprises,https://www.graniteenterprises.com,New York,MA,$500M-$1B,Microsoft 365 + SAP,ChatGPT,M&A Activity,0,2024-11-17
Clearwater Capital,Energy,5001-10000,https://linkedin.com/company/clearwater-capital,https://www.clearwatercapital.com,Chicago,MA,$100M-$500M,Microsoft 365 + SAP,Multiple AI Tools,IPO Filing,0,2024-11-19
Atlas Services,Manufacturing,501-1000,https://linkedin.com/company/atlas-services,https://www.atlasservices.com,Atlanta,WA,$500M-$1B,Microsoft 365 + SAP,ChatGPT,Series C Funding,<50,2024-11-25
Cornerstone Group,Real Estate,1001-5000,https://linkedin.com/company/cornerstone-group,https://www.cornerstonegroup.com,New York,CA,$100M-$500M,Microsoft 365 + Salesforce,ChatGPT,Hiring Surge,<50,2024-12-26
Vector Ventures,Legal,51-200,https://linkedin.com/company/vector-ventures,https://www.vectorventures.com,San Francisco,NY,$500M-$1B,Microsoft 365 + SAP,ChatGPT,New Product Launch,200-500,2024-11-02
Vantage Ventures,Financial Services,501-1000,https://linkedin.com/company/vantage-ventures,https://www.vantageventures.com,Charlotte,GA,$10M-$50M,Google Workspace,Microsoft Copilot,None Detected,0,2024-10-17
Beacon Network,Financial Services,1001-5000,https://linkedin.com/company/beacon-network,https://www.beaconnetwork.com,San Francisco,TX,$50M-$100M,Microsoft 365 + Salesforce,Custom LLM,Hiring Surge,<50,2024-10-28
Pinnacle Enterprises,Consulting,5001-10000,https://linkedin.com/company/pinnacle-enterprises,https://www.pinnacleenterprises.com,Boston,CO,$50M-$100M,Microsoft 365 + SAP,None Known,Digital Transformation Initiative,200-500,2024-11-10
Atlas Global,Financial Services,51-200,https://linkedin.com/company/atlas-global,https://www.atlasglobal.com,Denver,GA,$1B+,Microsoft 365 + SAP,Microsoft Copilot,IPO Filing,0,2024-10-26
Northbridge Global,Consulting,501-1000,https://linkedin.com/company/northbridge-global,https://www.northbridgeglobal.com,Los Angeles,WA,$50M-$100M,Mixed/Legacy,ChatGPT,M&A Activity,0,2024-10-23
Westfield Solutions,Technology,5001-10000,https://linkedin.com/company/westfield-solutions,https://www.westfieldsolutions.com,New York,WA,$100M-$500M,Microsoft 365 + SAP,ChatGPT,Hiring Surge,200-500,2024-10-02
Ironclad Global,Consulting,1001-5000,https://linkedin.com/company/ironclad-global,https://www.ironcladglobal.com,Atlanta,NC,$1B+,Mixed/Legacy,None Known,Series C Funding,50-200,2024-12-17
Bluestone LLC,Real Estate,201-500,https://linkedin.com/company/bluestone-llc,https://www.bluestonellc.com,Denver,CA,$500M-$1B,Microsoft 365 + SAP,ChatGPT,Leadership Change,500+,2024-10-12
Northbridge Advisors,Energy,51-200,https://linkedin.com/company/northbridge-advisors,https://www.northbridgeadvisors.com,Denver,TX,$10M-$50M,Microsoft 365 + Salesforce,Multiple AI Tools,None Detected,50-200,2024-10-22
Meridian Global,Real Estate,501-1000,https://linkedin.com/company/meridian-global,https://www.meridianglobal.com,New York,NC,$1B+,Microsoft 365 + Salesforce,ChatGPT,New Product Launch,0,2024-12-12
Cascade Resources,Technology,1001-5000,https://linkedin.com/company/cascade-resources,https://www.cascaderesources.com,Denver,WA,$1B+,Microsoft 365 + Salesforce,Microsoft Copilot,Hiring Surge,<50,2024-10-13
Granite LLC,Energy,5001-10000,https://linkedin.com/company/granite-llc,https://www.granitellc.com,New York,IL,$50M-$100M,Google Workspace,Multiple AI Tools,Leadership Change,0,2024-10-06
Apex Systems,Energy,501-1000,https://linkedin.com/company/apex-systems,https://www.apexsystems.com,Chicago,TX,$10M-$50M,Mixed/Legacy,Custom LLM,Expansion Announcement,500+,2024-11-08
Horizon Partners,Technology,51-200,https://linkedin.com/company/horizon-partners,https://www.horizonpartners.com,New York,CA,$500M-$1B,Microsoft 365 + Salesforce,Microsoft Copilot,Digital Transformation Initiative,200-500,2024-12-15
Clearwater Network,Energy,1001-5000,https://linkedin.com/company/clearwater-network,https://www.clearwaternetwork.com,Chicago,NY,$1B+,Google Workspace,ChatGPT,New Product Launch,0,2024-11-18
Clearwater Services,Technology,501-1000,https://linkedin.com/company/clearwater-services,https://www.clearwaterservices.com,Los Angeles,NC,$100M-$500M,Mixed/Legacy,None Known,Expansion Announcement,0,2024-11-05
Luminary Associates,Energy,10000+,https://linkedin.com/company/luminary-associates,https://www.luminaryassociates.com,Chicago,GA,$500M-$1B,Mixed/Legacy,Multiple AI Tools,Hiring Surge,0,2024-10-17
Vantage Group,Technology,5001-10000,https://linkedin.com/company/vantage-group,https://www.vantagegroup.com,Atlanta,CA,$10M-$50M,Microsoft 365,Multiple AI Tools,Digital Transformation Initiative,0,2024-12-18
Nexus Advisors,Manufacturing,5001-10000,https://linkedin.com/company/nexus-advisors,https://www.nexusadvisors.com,New York,CA,$1B+,Microsoft 365 + Salesforce,Custom LLM,Leadership Change,0,2024-11-20
Keystone Capital,Financial Services,5001-10000,https://linkedin.com/company/keystone-capital,https://www.keystonecapital.com,New York,NY,$100M-$500M,Microsoft 365,Microsoft Copilot,Series C Funding,<50,2024-12-23
Luminary Systems,Manufacturing,10000+,https://linkedin.com/company/luminary-systems,https://www.luminarysystems.com,New York,NC,$10M-$50M,Microsoft 365 + Salesforce,Multiple AI Tools,M&A Activity,0,2024-12-25
Clearwater Global,Retail,5001-10000,https://linkedin.com/company/clearwater-global,https://www.clearwaterglobal.com,Seattle,CA,$1B+,Microsoft 365,Microsoft Copilot,None Detected,0,2024-10-23
Vector Capital,Manufacturing,10000+,https://linkedin.com/company/vector-capital,https://www.vectorcapital.com,Seattle,CA,$100M-$500M,Microsoft 365 + SAP,Microsoft Copilot,None Detected,<50,2024-11-02
Cornerstone Systems,Logistics,501-1000,https://linkedin.com/company/cornerstone-systems,https://www.cornerstonesystems.com,San Francisco,IL,$50M-$100M,Mixed/Legacy,None Known,Leadership Change,50-200,2024-12-26
Luminary Ventures,Consulting,5001-10000,https://linkedin.com/company/luminary-ventures,https://www.luminaryventures.com,Atlanta,MA,$500M-$1B,Microsoft 365,Multiple AI Tools,Hiring Surge,200-500,2024-11-17
Ironclad Holdings,Real Estate,1001-5000,https://linkedin.com/company/ironclad-holdings,https://www.ironcladholdings.com,San Francisco,CA,$100M-$500M,Microsoft 365,Custom LLM,Hiring Surge,500+,2024-11-19
Crestview Consulting,Technology,201-500,https://linkedin.com/company/crestview-consulting,https://www.crestviewconsulting.com,Denver,NC,$50M-$100M,Microsoft 365 + SAP,Custom LLM,IPO Filing,0,2024-10-15
Beacon Management,Logistics,1001-5000,https://linkedin.com/company/beacon-management,https://www.beaconmanagement.com,Charlotte,TX,$500M-$1B,Microsoft 365,Multiple AI Tools,Hiring Surge,50-200,2024-11-05
Sterling Resources,Financial Services,1001-5000,https://linkedin.com/company/sterling-resources,https://www.sterlingresources.com,New York,TX,$100M-$500M,Microsoft 365 + Salesforce,Microsoft Copilot,Digital Transformation Initiative,0,2024-10-25
Cornerstone Holdings,Consulting,201-500,https://linkedin.com/company/cornerstone-holdings,https://www.cornerstoneholdings.com,Chicago,CA,$500M-$1B,Microsoft 365 + Salesforce,None Known,IPO Filing,<50,2024-12-02
Apex LLC,Legal,501-1000,https://linkedin.com/company/apex-llc,https://www.apexllc.com,Chicago,CA,$50M-$100M,Microsoft 365,Custom LLM,IPO Filing,0,2024-11-11
Keystone Management,Consulting,1001-5000,https://linkedin.com/company/keystone-management,https://www.keystonemanagement.com,Atlanta,CO,$50M-$100M,Google Workspace,Custom LLM,New Product Launch,0,2024-11-04
Bluestone Resources,Legal,201-500,https://linkedin.com/company/bluestone-resources,https://www.bluestoneresources.com,Chicago,CA,$50M-$100M,Mixed/Legacy,Custom LLM,New Product Launch,0,2024-11-19
Orion Capital,Manufacturing,10000+,https://linkedin.com/company/orion-capital,https://www.orioncapital.com,Dallas,CA,$50M-$100M,Mixed/Legacy,ChatGPT,None Detected,50-200,2024-12-25
Vector International,Consulting,1001-5000,https://linkedin.com/company/vector-international,https://www.vectorinternational.com,Boston,WA,$100M-$500M,Microsoft 365 + SAP,ChatGPT,None Detected,0,2024-12-15
Titan LLC,Manufacturing,1001-5000,https://linkedin.com/company/titan-llc,https://www.titanllc.com,Charlotte,MA,$50M-$100M,Google Workspace,Multiple AI Tools,Leadership Change,<50,2024-10-09
Pinnacle Capital,Consulting,201-500,https://linkedin.com/company/pinnacle-capital,https://www.pinnaclecapital.com,San Francisco,CO,$50M-$100M,Google Workspace,None Known,Leadership Change,<50,2024-10-20
Sterling Solutions,Legal,1001-5000,https://linkedin.com/company/sterling-solutions,https://www.sterlingsolutions.com,Chicago,NC,$10M-$50M,Google Workspace,Custom LLM,None Detected,50-200,2024-12-26
Northbridge Enterprises,Retail,10000+,https://linkedin.com/company/northbridge-enterprises,https://www.northbridgeenterpris.com,Charlotte,GA,$10M-$50M,Mixed/Legacy,ChatGPT,New Product Launch,0,2024-12-16
Bluestone Technologies,Energy,501-1000,https://linkedin.com/company/bluestone-technologies,https://www.bluestonetechnologie.com,San Francisco,TX,$500M-$1B,Microsoft 365 + SAP,Multiple AI Tools,M&A Activity,200-500,2024-10-21
Apex Corp,Logistics,10000+,https://linkedin.com/company/apex-corp,https://www.apexcorp.com,San Francisco,NY,$1B+,Microsoft 365 + SAP,Microsoft Copilot,IPO Filing,500+,2024-11-06
Bluestone International,Healthcare,5001-10000,https://linkedin.com/company/bluestone-international,https://www.bluestoneinternation.com,Seattle,CA,$500M-$1B,Microsoft 365,Multiple AI Tools,Expansion Announcement,200-500,2024-10-19
Luminary Advisors,Legal,1001-5000,https://linkedin.com/company/luminary-advisors,https://www.luminaryadvisors.com,Chicago,CA,$500M-$1B,Google Workspace,Multiple AI Tools,Digital Transformation Initiative,0,2024-12-12
Atlas Ventures,Manufacturing,201-500,https://linkedin.com/company/atlas-ventures,https://www.atlasventures.com,Atlanta,GA,$100M-$500M,Microsoft 365 + SAP,Multiple AI Tools,Expansion Announcement,0,2024-11-28
Horizon Network,Technology,10000+,https://linkedin.com/company/horizon-network,https://www.horizonnetwork.com,Charlotte,CA,$500M-$1B,Microsoft 365 + Salesforce,Multiple AI Tools,Hiring Surge,0,2024-12-06
Eastwick Holdings,Consulting,501-1000,https://linkedin.com/company/eastwick-holdings,https://www.eastwickholdings.com,Boston,MA,$100M-$500M,Microsoft 365 + SAP,Microsoft Copilot,Series C Funding,0,2024-12-24
Vantage Management,Legal,10000+,https://linkedin.com/company/vantage-management,https://www.vantagemanagement.com,New York,MA,$50M-$100M,Google Workspace,ChatGPT,IPO Filing,<50,2024-10-16
Luminary Resources,Legal,201-500,https://linkedin.com/company/luminary-resources,https://www.luminaryresources.com,New York,WA,$500M-$1B,Mixed/Legacy,None Known,M&A Activity,0,2024-12-06
Fortress Capital,Manufacturing,1001-5000,https://linkedin.com/company/fortress-capital,https://www.fortresscapital.com,Seattle,CO,$500M-$1B,Microsoft 365 + SAP,Microsoft Copilot,Hiring Surge,50-200,2024-12-18
Atlas Systems,Legal,1001-5000,https://linkedin.com/company/atlas-systems,https://www.atlassystems.com,New York,CA,$50M-$100M,Microsoft 365,Multiple AI Tools,Digital Transformation Initiative,<50,2024-12-16
Pacific Systems,Real Estate,10000+,https://linkedin.com/company/pacific-systems,https://www.pacificsystems.com,Los Angeles,CO,$10M-$50M,Mixed/Legacy,Multiple AI Tools,IPO Filing,<50,2024-10-02
Atlas International,Consulting,51-200,https://linkedin.com/company/atlas-international,https://www.atlasinternational.com,Boston,WA,$50M-$100M,Microsoft 365 + Salesforce,ChatGPT,Hiring Surge,0,2024-10-13
Atlas Holdings,Manufacturing,201-500,https://linkedin.com/company/atlas-holdings,https://www.atlasholdings.com,Chicago,GA,$10M-$50M,Microsoft 365 + Salesforce,Multiple AI Tools,None Detected,0,2024-11-17
Westfield Systems,Healthcare,501-1000,https://linkedin.com/company/westfield-systems,https://www.westfieldsystems.com,Boston,GA,$500M-$1B,Microsoft 365,Multiple AI Tools,New Product Launch,0,2024-11-06
Harbor Corp,Healthcare,201-500,https://linkedin.com/company/harbor-corp,https://www.harborcorp.com,Seattle,NC,$500M-$1B,Microsoft 365,Microsoft Copilot,Digital Transformation Initiative,0,2024-12-26
Horizon International,Logistics,1001-5000,https://linkedin.com/company/horizon-international,https://www.horizoninternational.com,New York,CA,$500M-$1B,Mixed/Legacy,Multiple AI Tools,Leadership Change,0,2024-11-16
Bluestone Partners,Retail,10000+,https://linkedin.com/company/bluestone-partners,https://www.bluestonepartners.com,New York,CO,$10M-$50M,Google Workspace,None Known,M&A Activity,<50,2024-12-14
Vector Enterprises,Technology,501-1000,https://linkedin.com/company/vector-enterprises,https://www.vectorenterprises.com,Charlotte,GA,$100M-$500M,Microsoft 365 + SAP,Microsoft Copilot,New Product Launch,200-500,2024-12-23
Westfield Group,Manufacturing,201-500,https://linkedin.com/company/westfield-group,https://www.westfieldgroup.com,Los Angeles,IL,$50M-$100M,Mixed/Legacy,Multiple AI Tools,None Detected,50-200,2024-11-12
Clearwater Enterprises,Legal,10000+,https://linkedin.com/company/clearwater-enterprises,https://www.clearwaterenterprise.com,Charlotte,NC,$10M-$50M,Microsoft 365,None Known,Expansion Announcement,50-200,2024-10-24
Pacific Technologies,Manufacturing,10000+,https://linkedin.com/company/pacific-technologies,https://www.pacifictechnologies.com,Chicago,WA,$10M-$50M,Microsoft 365 + Salesforce,ChatGPT,None Detected,50-200,2024-11-11
Northbridge Group,Healthcare,51-200,https://linkedin.com/company/northbridge-group,https://www.northbridgegroup.com,Boston,NC,$50M-$100M,Microsoft 365 + SAP,None Known,Series C Funding,<50,2024-10-08
Crestview LLC,Manufacturing,501-1000,https://linkedin.com/company/crestview-llc,https://www.crestviewllc.com,New York,GA,$100M-$500M,Mixed/Legacy,Microsoft Copilot,M&A Activity,0,2024-10-25
Summit Consulting,Legal,51-200,https://linkedin.com/company/summit-consulting,https://www.summitconsulting.com,Atlanta,WA,$1B+,Microsoft 365 + Salesforce,Multiple AI Tools,IPO Filing,50-200,2024-11-10
Titan Advisors,Retail,5001-10000,https://linkedin.com/company/titan-advisors,https://www.titanadvisors.com,Seattle,IL,$50M-$100M,Google Workspace,ChatGPT,None Detected,50-200,2024-12-06
Keystone Services,Logistics,10000+,https://linkedin.com/company/keystone-services,https://www.keystoneservices.com,Chicago,MA,$500M-$1B,Microsoft 365 + Salesforce,ChatGPT,Expansion Announcement,0,2024-12-25
Horizon Management,Manufacturing,5001-10000,https://linkedin.com/company/horizon-management,https://www.horizonmanagement.com,San Francisco,NY,$500M-$1B,Microsoft 365 + Salesforce,Custom LLM,New Product Launch,200-500,2024-11-18
Beacon Enterprises,Consulting,5001-10000,https://linkedin.com/company/beacon-enterprises,https://www.beaconenterprises.com,New York,CA,$100M-$500M,Mixed/Legacy,Microsoft Copilot,Expansion Announcement,500+,2024-10-14
Northbridge Management,Financial Services,201-500,https://linkedin.com/company/northbridge-management,https://www.northbridgemanagemen.com,Denver,MA,$500M-$1B,Mixed/Legacy,Multiple AI Tools,Series C Funding,50-200,2024-11-22
Crestview Services,Legal,1001-5000,https://linkedin.com/company/crestview-services,https://www.crestviewservices.com,San Francisco,NC,$50M-$100M,Mixed/Legacy,Custom LLM,New Product Launch,0,2024-12-16
Sterling Enterprises,Energy,1001-5000,https://linkedin.com/company/sterling-enterprises,https://www.sterlingenterprises.com,Los Angeles,NC,$50M-$100M,Microsoft 365 + Salesforce,Multiple AI Tools,Expansion Announcement,<50,2024-11-11
Beacon LLC,Retail,501-1000,https://linkedin.com/company/beacon-llc,https://www.beaconllc.com,Boston,IL,$50M-$100M,Microsoft 365 + SAP,ChatGPT,Digital Transformation Initiative,200-500,2024-10-24
Bluestone Holdings,Financial Services,201-500,https://linkedin.com/company/bluestone-holdings,https://www.bluestoneholdings.com,Los Angeles,CO,$1B+,Microsoft 365,ChatGPT,IPO Filing,50-200,2024-11-02
Meridian Capital,Financial Services,1001-5000,https://linkedin.com/company/meridian-capital,https://www.meridiancapital.com,Seattle,MA,$500M-$1B,Microsoft 365 + SAP,ChatGPT,M&A Activity,0,2024-11-09
Pinnacle LLC,Technology,501-1000,https://linkedin.com/company/pinnacle-llc,https://www.pinnaclellc.com,Denver,WA,$10M-$50M,Microsoft 365 + SAP,Microsoft Copilot,Series C Funding,50-200,2024-11-12
Eastwick LLC,Technology,10000+,https://linkedin.com/company/eastwick-llc,https://www.eastwickllc.com,Los Angeles,TX,$100M-$500M,Microsoft 365 + SAP,ChatGPT,IPO Filing,50-200,2024-11-05
Apex Resources,Financial Services,201-500,https://linkedin.com/company/apex-resources,https://www.apexresources.com,Seattle,WA,$1B+,Microsoft 365 + SAP,ChatGPT,None Detected,500+,2024-10-24
Harbor Technologies,Logistics,501-1000,https://linkedin.com/company/harbor-technologies,https://www.harbortechnologies.com,Charlotte,CA,$50M-$100M,Mixed/Legacy,None Known,New Product Launch,50-200,2024-10-14
Westfield Advisors,Real Estate,201-500,https://linkedin.com/company/westfield-advisors,https://www.westfieldadvisors.com,Denver,NC,$1B+,Microsoft 365 + SAP,None Known,Hiring Surge,500+,2024-11-19
Fortress LLC,Financial Services,501-1000,https://linkedin.com/company/fortress-llc,https://www.fortressllc.com,Boston,NC,$1B+,Microsoft 365 + Salesforce,Microsoft Copilot,IPO Filing,500+,2024-11-17
Luminary Consulting,Logistics,51-200,https://linkedin.com/company/luminary-consulting,https://www.luminaryconsulting.com,Chicago,CA,$50M-$100M,Microsoft 365 + SAP,Custom LLM,None Detected,200-500,2024-12-13
Orion Ventures,Real Estate,501-1000,https://linkedin.com/company/orion-ventures,https://www.orionventures.com,Boston,CO,$10M-$50M,Google Workspace,Microsoft Copilot,Expansion Announcement,0,2024-12-13
Ridgeline Consulting,Consulting,1001-5000,https://linkedin.com/company/ridgeline-consulting,https://www.ridgelineconsulting.com,Boston,IL,$500M-$1B,Microsoft 365 + Salesforce,Multiple AI Tools,Series C Funding,0,2024-10-25
Keystone Enterprises,Healthcare,1001-5000,https://linkedin.com/company/keystone-enterprises,https://www.keystoneenterprises.com,Chicago,TX,$50M-$100M,Microsoft 365 + SAP,None Known,Series C Funding,0,2024-12-11
Apex Advisors,Logistics,51-200,https://linkedin.com/company/apex-advisors,https://www.apexadvisors.com,Denver,GA,$1B+,Microsoft 365,None Known,Series C Funding,50-200,2024-11-24
Bluestone Management,Healthcare,1001-5000,https://linkedin.com/company/bluestone-management,https://www.bluestonemanagement.com,Atlanta,IL,$10M-$50M,Microsoft 365 + Salesforce,Microsoft Copilot,New Product Launch,0,2024-12-10
Ridgeline LLC,Consulting,5001-10000,https://linkedin.com/company/ridgeline-llc,https://www.ridgelinellc.com,Seattle,WA,$1B+,Microsoft 365,ChatGPT,Series C Funding,50-200,2024-12-07
Cascade Solutions,Healthcare,5001-10000,https://linkedin.com/company/cascade-solutions,https://www.cascadesolutions.com,Los Angeles,MA,$1B+,Microsoft 365 + SAP,ChatGPT,IPO Filing,500+,2024-12-04
Granite Services,Consulting,5001-10000,https://linkedin.com/company/granite-services,https://www.graniteservices.com,Seattle,TX,$10M-$50M,Microsoft 365 + Salesforce,ChatGPT,None Detected,0,2024-12-22
Crestview Group,Legal,501-1000,https://linkedin.com/company/crestview-group,https://www.crestviewgroup.com,Los Angeles,IL,$100M-$500M,Google Workspace,Microsoft Copilot,Hiring Surge,0,2024-12-16
Atlas Consulting,Healthcare,5001-10000,https://linkedin.com/company/atlas-consulting,https://www.atlasconsulting.com,Charlotte,CA,$1B+,Microsoft 365 + Salesforce,Multiple AI Tools,Series C Funding,200-500,2024-12-11
Crestview Systems,Manufacturing,1001-5000,https://linkedin.com/company/crestview-systems,https://www.crestviewsystems.com,New York,WA,$500M-$1B,Mixed/Legacy,Microsoft Copilot,New Product Launch,50-200,2024-12-23
Cascade Associates,Real Estate,51-200,https://linkedin.com/company/cascade-associates,https://www.cascadeassociates.com,Dallas,MA,$10M-$50M,Microsoft 365 + Salesforce,Custom LLM,IPO Filing,0,2024-10-11
Pinnacle Services,Financial Services,51-200,https://linkedin.com/company/pinnacle-services,https://www.pinnacleservices.com,Boston,CA,$10M-$50M,Google Workspace,None Known,New Product Launch,50-200,2024-10-28
Ridgeline Capital,Healthcare,10000+,https://linkedin.com/company/ridgeline-capital,https://www.ridgelinecapital.com,Dallas,WA,$50M-$100M,Microsoft 365,ChatGPT,M&A Activity,500+,2024-10-01
Clearwater Associates,Technology,51-200,https://linkedin.com/company/clearwater-associates,https://www.clearwaterassociates.com,Dallas,WA,$10M-$50M,Microsoft 365 + SAP,Custom LLM,None Detected,200-500,2024-10-16
Apex Capital,Energy,10000+,https://linkedin.com/company/apex-capital,https://www.apexcapital.com,San Francisco,MA,$100M-$500M,Mixed/Legacy,None Known,M&A Activity,<50,2024-12-16
Eastwick Associates,Consulting,201-500,https://linkedin.com/company/eastwick-associates,https://www.eastwickassociates.com,Atlanta,MA,$1B+,Microsoft 365 + Salesforce,None Known,New Product Launch,<50,2024-10-03
Westfield Services,Consulting,501-1000,https://linkedin.com/company/westfield-services,https://www.westfieldservices.com,Los Angeles,WA,$50M-$100M,Microsoft 365,Custom LLM,Digital Transformation Initiative,200-500,2024-11-02
Archway Global,Financial Services,201-500,https://linkedin.com/company/archway-global,https://www.archwayglobal.com,San Francisco,WA,$1B+,Microsoft 365 + SAP,None Known,Digital Transformation Initiative,0,2024-11-25
Archway Enterprises,Retail,1001-5000,https://linkedin.com/company/archway-enterprises,https://www.archwayenterprises.com,Atlanta,MA,$10M-$50M,Microsoft 365,Multiple AI Tools,Hiring Surge,50-200,2024-12-09
Archway Corp,Financial Services,51-200,https://linkedin.com/company/archway-corp,https://www.archwaycorp.com,Atlanta,CO,$50M-$100M,Microsoft 365 + SAP,Microsoft Copilot,Digital Transformation Initiative,0,2024-11-27
Luminary Capital,Real Estate,10000+,https://linkedin.com/company/luminary-capital,https://www.luminarycapital.com,Atlanta,CO,$10M-$50M,Mixed/Legacy,Multiple AI Tools,None Detected,0,2024-10-14
Meridian Systems,Healthcare,51-200,https://linkedin.com/company/meridian-systems,https://www.meridiansystems.com,Atlanta,NC,$50M-$100M,Microsoft 365 + Salesforce,None Known,Hiring Surge,<50,2024-11-21
Sterling Technologies,Financial Services,5001-10000,https://linkedin.com/company/sterling-technologies,https://www.sterlingtechnologies.com,Denver,CA,$1B+,Microsoft 365 + Salesforce,Multiple AI Tools,Digital Transformation Initiative,0,2024-10-19
Orion Management,Financial Services,10000+,https://linkedin.com/company/orion-management,https://www.orionmanagement.com,Denver,NC,$1B+,Microsoft 365 + Salesforce,Microsoft Copilot,M&A Activity,0,2024-10-06
Sterling Associates,Legal,501-1000,https://linkedin.com/company/sterling-associates,https://www.sterlingassociates.com,Denver,CA,$1B+,Microsoft 365 + Salesforce,Custom LLM,Hiring Surge,<50,2024-11-07
Ridgeline Management,Manufacturing,201-500,https://linkedin.com/company/ridgeline-management,https://www.ridgelinemanagement.com,Chicago,TX,$100M-$500M,Google Workspace,ChatGPT,Expansion Announcement,0,2024-10-07
Apex Network,Financial Services,1001-5000,https://linkedin.com/company/apex-network,https://www.apexnetwork.com,Atlanta,CO,$1B+,Microsoft 365 + Salesforce,Custom LLM,IPO Filing,200-500,2024-10-02
Beacon Consulting,Energy,51-200,https://linkedin.com/company/beacon-consulting,https://www.beaconconsulting.com,Chicago,TX,$1B+,Google Workspace,None Known,Leadership Change,<50,2024-12-27
Pacific Solutions,Logistics,1001-5000,https://linkedin.com/company/pacific-solutions,https://www.pacificsolutions.com,Los Angeles,CO,$100M-$500M,Microsoft 365 + SAP,None Known,Leadership Change,<50,2024-11-22
