Ticket_ID,Created_Date,Resolved_Date,Resolution_Hours,Company,Department,Product,Issue_Type,Priority,Status,Issue_Summary,Resolution_Notes,CSAT_Score,Escalated,Reopened,Agent_ID
TKT-10114,2024-07-19,2024-07-19 00:00,18,Vantage Capital LLC,Legal,Word Copilot,Bug Report,P3-Medium,Resolved,Meeting recap incorrectly attributing speaker turns in multi-language calls,Root cause identified in build 24.11.2; patch released; regression testing complete,3,No,No,AGT-109
TKT-10115,2024-10-06,2024-10-07 00:00,45,Fortress Consulting,Legal,Teams Premium,API Error,P3-Medium,Closed,Plugin manifest validation errors blocking custom Copilot extension deployment,Rate limiting increased for enterprise tier; throttling configuration updated in gateway,5,No,Yes,AGT-104
TKT-10116,2024-08-28,2024-09-02 00:00,129,Apex Global Partners,Operations,Word Copilot,Training,P4-Low,Resolved,Onboarding documentation out of date - reflects pre-GA feature set,Custom training package scheduled; dedicated CSM assigned; delivery timeline confirmed,4,No,Yes,AGT-111
TKT-10117,2024-12-23,2024-12-25 00:00,68,Cornerstone Dynamics,HR,Excel Copilot,Bug Report,P3-Medium,Resolved,Copilot in Teams meeting generating duplicate action items for recurring calls,Root cause identified in build 24.11.2; patch released; regression testing complete,5,No,Yes,AGT-114
TKT-10118,2024-11-20,,,Cornerstone Dynamics,Executive,Excel Copilot,Performance,P4-Low,Open,Batch prompt processing degraded during end-of-quarter reporting window,Under investigation,,No,No,AGT-111
TKT-10119,2024-07-14,,,Vantage Capital LLC,Executive,Outlook Copilot,Performance,P3-Medium,Open,Teams meeting transcription processing queue backed up 2+ hours,Under investigation,,No,No,AGT-104
TKT-10120,2024-08-27,2024-08-27 00:00,21,Apex Global Partners,Legal,Word Copilot,API Error,P3-Medium,Resolved,Plugin manifest validation errors blocking custom Copilot extension deployment,Rate limiting increased for enterprise tier; throttling configuration updated in gateway,4,No,No,AGT-119
TKT-10121,2024-12-05,2024-12-11 00:00,166,Fortress Consulting,Executive,PowerPoint Copilot,Integration,P4-Low,Resolved,Workday HR data not visible to Copilot for org chart queries,Connector configuration corrected; service principal permissions updated; integration re-tested and validated,5,No,No,AGT-101
TKT-10122,2024-07-02,2024-07-03 00:00,31,Cornerstone Dynamics,HR,Teams Premium,Data Export,P3-Medium,Resolved,Bulk export of meeting recaps timing out for calls over 90 minutes,Export API pagination issue resolved in latest build; hotfix deployed to production tenant,5,No,Yes,AGT-105
TKT-10123,2024-10-16,2024-10-16 00:00,18,Fortress Consulting,Finance,Word Copilot,Login/Access,P2-High,Resolved,MFA bypass not working for service accounts in Production environment,Escalated to Azure AD team; conditional access policy updated; SSO re-validated across all tenants,4,Yes,No,AGT-119
TKT-10124,2024-12-06,,,Meridian Financial Group,Finance,Excel Copilot,API Error,P2-High,In Progress,Graph API returning 429 throttling errors on Copilot endpoint during batch jobs,Under investigation,,No,No,AGT-115
TKT-10125,2024-08-25,2024-08-25 00:00,22,Vantage Capital LLC,Operations,Teams Premium,Bug Report,P3-Medium,Resolved,Copilot Chat losing conversation context after 45-minute idle period,Root cause identified in build 24.11.2; patch released; regression testing complete,3,No,No,AGT-116
TKT-10126,2024-12-01,2024-12-01 00:00,15,Meridian Financial Group,Finance,Word Copilot,Training,P3-Medium,Resolved,"Need role-specific Copilot training tracks for Sales, Legal, and Operations",Custom training package scheduled; dedicated CSM assigned; delivery timeline confirmed,4,No,No,AGT-105
TKT-10127,2024-10-19,2024-10-20 00:00,30,Meridian Financial Group,IT,Word Copilot,Billing,P3-Medium,Resolved,Enterprise agreement discount not applied to Q4 renewal invoice,Billing team issued corrected invoice; credit applied to next billing cycle; account reconciled,5,No,No,AGT-117
TKT-10128,2024-07-11,2024-07-16 00:00,135,Cornerstone Dynamics,IT,Word Copilot,Training,P4-Low,Resolved,Onboarding documentation out of date - reflects pre-GA feature set,Custom training package scheduled; dedicated CSM assigned; delivery timeline confirmed,5,No,No,AGT-119
TKT-10129,2024-10-12,2024-10-12 00:00,10,Vantage Capital LLC,HR,Copilot Chat,Bug Report,P3-Medium,Resolved,Word Copilot rewrite function stripping tracked changes without user confirmation,Root cause identified in build 24.11.2; patch released; regression testing complete,5,No,No,AGT-115
TKT-10130,2024-11-28,,,Meridian Financial Group,Finance,Word Copilot,Feature Request,P2-High,Open,Request to add custom prompt templates at tenant level for all users,Under investigation,,Yes,No,AGT-110
TKT-10131,2024-12-10,,,Apex Global Partners,IT,PowerPoint Copilot,Feature Request,P2-High,Open,Need multilingual support for Copilot prompts in Japanese and German,Under investigation,,No,No,AGT-112
TKT-10132,2024-08-07,2024-08-10 00:00,89,Apex Global Partners,Finance,Copilot Chat,Feature Request,P4-Low,Resolved,Need bulk prompt assignment capability for onboarding new business unit (200 users),Added to product roadmap Q2 2025; customer success team to provide ETA confirmation,5,No,Yes,AGT-106
TKT-10133,2024-10-23,,,Fortress Consulting,Executive,PowerPoint Copilot,Compliance,P3-Medium,In Progress,Audit log gaps in Copilot interaction history during December maintenance window,Under investigation,,No,No,AGT-115
TKT-10134,2024-11-29,2024-11-29 00:00,15,Cornerstone Dynamics,Executive,Teams Premium,Performance,P3-Medium,Resolved,Batch prompt processing degraded during end-of-quarter reporting window,Routing configuration updated; load balancing adjusted; performance restored to SLA within 4 hours,2,No,No,AGT-115
TKT-10135,2024-07-24,,,Cornerstone Dynamics,IT,Outlook Copilot,Login/Access,P2-High,Open,Service principal permissions insufficient for Copilot Graph API calls,Under investigation,,Yes,No,AGT-115
TKT-10136,2024-12-14,2024-12-15 00:00,32,Meridian Financial Group,Operations,PowerPoint Copilot,API Error,P3-Medium,Resolved,Plugin manifest validation errors blocking custom Copilot extension deployment,Rate limiting increased for enterprise tier; throttling configuration updated in gateway,4,No,No,AGT-102
TKT-10137,2024-11-07,2024-11-08 00:00,24,Cornerstone Dynamics,Legal,Copilot Chat,Compliance,P2-High,Resolved,Data residency policy not enforced - EU tenant data routed through US datacenter,Configuration corrected; data residency verified; compliance team signed off; incident documented for SOC2 review,4,Yes,No,AGT-115
TKT-10138,2024-09-11,2024-09-13 00:00,57,Apex Global Partners,HR,Teams Premium,Training,P3-Medium,Closed,Request to set up internal Center of Excellence with certified prompt library,Custom training package scheduled; dedicated CSM assigned; delivery timeline confirmed,5,No,Yes,AGT-111
TKT-10139,2024-09-11,,,Fortress Consulting,Legal,Word Copilot,Performance,P3-Medium,In Progress,Batch prompt processing degraded during end-of-quarter reporting window,Under investigation,,No,No,AGT-111
TKT-10140,2024-12-15,2024-12-17 00:00,58,Apex Global Partners,HR,Teams Premium,Performance,P3-Medium,Resolved,Batch prompt processing degraded during end-of-quarter reporting window,Routing configuration updated; load balancing adjusted; performance restored to SLA within 4 hours,5,No,Yes,AGT-110
TKT-10141,2024-12-19,,,Cornerstone Dynamics,Executive,Excel Copilot,Training,P3-Medium,In Progress,Onboarding documentation out of date - reflects pre-GA feature set,Under investigation,,No,No,AGT-112
TKT-10142,2024-11-02,2024-11-03 00:00,32,Apex Global Partners,Finance,Teams Premium,Login/Access,P3-Medium,Resolved,MFA bypass not working for service accounts in Production environment,Escalated to Azure AD team; conditional access policy updated; SSO re-validated across all tenants,3,No,No,AGT-104
TKT-10143,2024-09-25,,,Fortress Consulting,IT,Outlook Copilot,Training,P4-Low,Open,Onboarding documentation out of date - reflects pre-GA feature set,Under investigation,,No,No,AGT-106
TKT-10144,2024-10-21,2024-10-22 00:00,35,Fortress Consulting,Executive,Excel Copilot,Data Export,P4-Low,Closed,CSV export of AI-generated reports truncating fields over 32k characters,Export API pagination issue resolved in latest build; hotfix deployed to production tenant,5,No,No,AGT-115
TKT-10145,2024-08-31,2024-09-01 00:00,47,Vantage Capital LLC,Finance,PowerPoint Copilot,API Error,P3-Medium,Closed,Webhook payload for Copilot events missing required fields per new schema version,Rate limiting increased for enterprise tier; throttling configuration updated in gateway,4,No,No,AGT-115
TKT-10146,2024-10-16,2024-10-18 00:00,65,Vantage Capital LLC,Sales,PowerPoint Copilot,Compliance,P4-Low,Resolved,Retention policy not applied to Copilot-generated meeting summaries in Teams,Configuration corrected; data residency verified; compliance team signed off; incident documented for SOC2 review,3,No,No,AGT-102
TKT-10147,2024-11-10,2024-11-12 00:00,55,Fortress Consulting,IT,Outlook Copilot,Compliance,P4-Low,Resolved,Data residency policy not enforced - EU tenant data routed through US datacenter,Configuration corrected; data residency verified; compliance team signed off; incident documented for SOC2 review,5,No,No,AGT-115
TKT-10148,2024-10-24,2024-10-24 00:00,15,Vantage Capital LLC,IT,Excel Copilot,Training,P2-High,Resolved,Onboarding documentation out of date - reflects pre-GA feature set,Custom training package scheduled; dedicated CSM assigned; delivery timeline confirmed,2,Yes,No,AGT-112
TKT-10149,2024-07-08,2024-07-10 00:00,48,Meridian Financial Group,HR,Excel Copilot,Integration,P3-Medium,Resolved,Bloomberg data feed disconnected from Excel Copilot after API version upgrade,Connector configuration corrected; service principal permissions updated; integration re-tested and validated,5,No,No,AGT-102
TKT-10150,2024-12-28,2025-01-03 00:00,144,Vantage Capital LLC,Legal,Excel Copilot,Billing,P4-Low,Closed,Usage-based billing discrepancy between admin portal and invoice line items,Billing team issued corrected invoice; credit applied to next billing cycle; account reconciled,1,No,Yes,AGT-101
TKT-10151,2024-12-03,2024-12-03 00:00,20,Apex Global Partners,Sales,Outlook Copilot,Billing,P2-High,Closed,Invoice showing 340 Copilot licenses but only 287 assigned users active,Billing team issued corrected invoice; credit applied to next billing cycle; account reconciled,5,Yes,No,AGT-110
TKT-10152,2024-10-26,2024-10-26 00:00,2,Vantage Capital LLC,Legal,PowerPoint Copilot,Performance,P1-Critical,Resolved,Excel Copilot formula generation stalling on sheets with 100k+ rows,Routing configuration updated; load balancing adjusted; performance restored to SLA within 4 hours,5,No,Yes,AGT-117
TKT-10153,2024-07-01,2024-07-01 00:00,23,Apex Global Partners,HR,Word Copilot,API Error,P2-High,Resolved,Webhook payload for Copilot events missing required fields per new schema version,Rate limiting increased for enterprise tier; throttling configuration updated in gateway,5,Yes,No,AGT-103
TKT-10154,2024-11-07,,,Meridian Financial Group,Sales,PowerPoint Copilot,Training,P4-Low,Open,Request for admin-led prompt engineering workshop for Finance team leads,Under investigation,,No,No,AGT-116
TKT-10155,2024-07-05,2024-07-07 00:00,53,Cornerstone Dynamics,HR,Outlook Copilot,Login/Access,P3-Medium,Resolved,SAML token expiry causing session drops for users in APAC region,Escalated to Azure AD team; conditional access policy updated; SSO re-validated across all tenants,4,No,Yes,AGT-119
TKT-10156,2024-12-12,,,Cornerstone Dynamics,Sales,Teams Premium,Feature Request,P2-High,In Progress,Require ability to restrict Copilot to approved document libraries only,Under investigation,,No,No,AGT-106
TKT-10157,2024-08-21,2024-08-21 00:00,5,Vantage Capital LLC,IT,Teams Premium,Data Export,P2-High,Resolved,Copilot-generated analysis not retaining formatting when exported to SharePoint,Export API pagination issue resolved in latest build; hotfix deployed to production tenant,4,No,No,AGT-117
TKT-10158,2024-07-10,2024-07-13 00:00,72,Fortress Consulting,Operations,Teams Premium,Bug Report,P4-Low,Resolved,Excel Copilot overwriting named ranges when inserting AI-generated formulas,Root cause identified in build 24.11.2; patch released; regression testing complete,5,No,Yes,AGT-111
TKT-10159,2024-10-21,2024-10-21 00:00,16,Cornerstone Dynamics,Operations,Word Copilot,Billing,P2-High,Resolved,Monthly usage overage charge on account despite license pool not exhausted,Billing team issued corrected invoice; credit applied to next billing cycle; account reconciled,4,Yes,No,AGT-112
TKT-10160,2024-07-21,,,Meridian Financial Group,Legal,Word Copilot,Training,P3-Medium,Open,"Need role-specific Copilot training tracks for Sales, Legal, and Operations",Under investigation,,No,No,AGT-110
TKT-10161,2024-09-17,,,Cornerstone Dynamics,Legal,Teams Premium,Feature Request,P2-High,Open,Require ability to restrict Copilot to approved document libraries only,Under investigation,,Yes,No,AGT-115
TKT-10162,2024-09-09,2024-09-09 00:00,15,Cornerstone Dynamics,Sales,Word Copilot,Feature Request,P3-Medium,Resolved,Require ability to restrict Copilot to approved document libraries only,Added to product roadmap Q2 2025; customer success team to provide ETA confirmation,4,No,No,AGT-101
TKT-10163,2024-07-18,,,Vantage Capital LLC,IT,Excel Copilot,Data Export,P4-Low,In Progress,CSV export of AI-generated reports truncating fields over 32k characters,Under investigation,,No,No,AGT-113
TKT-10164,2024-10-03,2024-10-03 00:00,4,Apex Global Partners,Legal,Word Copilot,API Error,P1-Critical,Closed,Graph API returning 429 throttling errors on Copilot endpoint during batch jobs,Rate limiting increased for enterprise tier; throttling configuration updated in gateway,5,No,No,AGT-112
TKT-10165,2024-07-07,2024-07-08 00:00,31,Cornerstone Dynamics,Finance,Copilot Chat,Bug Report,P3-Medium,Closed,Meeting recap incorrectly attributing speaker turns in multi-language calls,Root cause identified in build 24.11.2; patch released; regression testing complete,4,No,No,AGT-104
TKT-10166,2024-09-12,2024-09-18 00:00,149,Vantage Capital LLC,Finance,PowerPoint Copilot,Billing,P4-Low,Resolved,Invoice showing 340 Copilot licenses but only 287 assigned users active,Billing team issued corrected invoice; credit applied to next billing cycle; account reconciled,3,No,Yes,AGT-115
TKT-10167,2024-09-20,,,Vantage Capital LLC,IT,Outlook Copilot,Data Export,P4-Low,In Progress,Copilot-generated analysis not retaining formatting when exported to SharePoint,Under investigation,,No,No,AGT-118
TKT-10168,2024-12-27,2024-12-29 00:00,68,Apex Global Partners,Legal,Outlook Copilot,Billing,P4-Low,Resolved,Usage-based billing discrepancy between admin portal and invoice line items,Billing team issued corrected invoice; credit applied to next billing cycle; account reconciled,4,No,No,AGT-105
TKT-10169,2024-11-24,2024-11-28 00:00,118,Meridian Financial Group,HR,PowerPoint Copilot,Integration,P4-Low,Closed,Workday HR data not visible to Copilot for org chart queries,Connector configuration corrected; service principal permissions updated; integration re-tested and validated,3,No,Yes,AGT-103
TKT-10170,2024-10-13,2024-10-13 00:00,17,Vantage Capital LLC,Sales,Word Copilot,Billing,P3-Medium,Resolved,Seat reallocation after M&A not reflected in current billing cycle,Billing team issued corrected invoice; credit applied to next billing cycle; account reconciled,5,No,No,AGT-115
TKT-10171,2024-08-16,2024-08-17 00:00,24,Fortress Consulting,Legal,PowerPoint Copilot,Training,P3-Medium,Closed,Need recorded training sessions for async delivery to global workforce,Custom training package scheduled; dedicated CSM assigned; delivery timeline confirmed,5,No,Yes,AGT-104
TKT-10172,2024-12-29,2024-12-29 00:00,11,Apex Global Partners,Finance,Teams Premium,Training,P2-High,Resolved,Need recorded training sessions for async delivery to global workforce,Custom training package scheduled; dedicated CSM assigned; delivery timeline confirmed,5,No,Yes,AGT-109
TKT-10173,2024-12-08,,,Fortress Consulting,HR,Excel Copilot,Integration,P3-Medium,Open,Workday HR data not visible to Copilot for org chart queries,Under investigation,,No,Yes,AGT-117
TKT-10174,2024-12-16,,,Fortress Consulting,Finance,Excel Copilot,Data Export,P3-Medium,Open,Copilot-generated analysis not retaining formatting when exported to SharePoint,Under investigation,,No,Yes,AGT-103
TKT-10175,2024-08-23,,,Fortress Consulting,HR,Outlook Copilot,Login/Access,P4-Low,Open,SSO integration failing for Azure AD federated users after tenant policy update,Under investigation,,No,No,AGT-118
TKT-10176,2024-12-23,2024-12-25 00:00,59,Cornerstone Dynamics,Operations,Excel Copilot,Billing,P3-Medium,Resolved,Enterprise agreement discount not applied to Q4 renewal invoice,Billing team issued corrected invoice; credit applied to next billing cycle; account reconciled,2,No,Yes,AGT-106
TKT-10177,2024-12-03,2024-12-04 00:00,26,Vantage Capital LLC,Finance,Teams Premium,Compliance,P3-Medium,Resolved,Audit log gaps in Copilot interaction history during December maintenance window,Configuration corrected; data residency verified; compliance team signed off; incident documented for SOC2 review,5,No,No,AGT-113
TKT-10178,2024-09-20,2024-09-23 00:00,85,Fortress Consulting,Sales,Copilot Chat,Data Export,P4-Low,Closed,Copilot-generated analysis not retaining formatting when exported to SharePoint,Export API pagination issue resolved in latest build; hotfix deployed to production tenant,4,No,No,AGT-105
TKT-10179,2024-10-16,2024-10-16 00:00,11,Vantage Capital LLC,Executive,PowerPoint Copilot,Performance,P2-High,Resolved,Teams meeting transcription processing queue backed up 2+ hours,Routing configuration updated; load balancing adjusted; performance restored to SLA within 4 hours,5,No,No,AGT-107
TKT-10180,2024-09-17,2024-09-19 00:00,71,Fortress Consulting,Operations,Word Copilot,Data Export,P3-Medium,Resolved,Copilot-generated analysis not retaining formatting when exported to SharePoint,Export API pagination issue resolved in latest build; hotfix deployed to production tenant,5,No,No,AGT-115
TKT-10181,2024-09-11,,,Cornerstone Dynamics,IT,Copilot Chat,Integration,P2-High,Open,SharePoint site connector returning stale index results in Copilot responses,Under investigation,,Yes,No,AGT-118
TKT-10182,2024-10-02,2024-10-07 00:00,127,Vantage Capital LLC,Finance,Teams Premium,Login/Access,P4-Low,Resolved,SSO integration failing for Azure AD federated users after tenant policy update,Escalated to Azure AD team; conditional access policy updated; SSO re-validated across all tenants,4,No,No,AGT-118
TKT-10183,2024-11-07,,,Cornerstone Dynamics,IT,Word Copilot,Integration,P3-Medium,Open,Bloomberg data feed disconnected from Excel Copilot after API version upgrade,Under investigation,,No,No,AGT-120
TKT-10184,2024-09-25,2024-09-25 00:00,21,Meridian Financial Group,Operations,Teams Premium,Performance,P2-High,Resolved,Large document summarization timing out on files over 50MB,Routing configuration updated; load balancing adjusted; performance restored to SLA within 4 hours,4,Yes,No,AGT-113
TKT-10185,2024-09-24,2024-09-24 00:00,8,Meridian Financial Group,Finance,Outlook Copilot,Training,P1-Critical,Closed,Need recorded training sessions for async delivery to global workforce,Custom training package scheduled; dedicated CSM assigned; delivery timeline confirmed,4,No,No,AGT-117
TKT-10186,2024-10-09,,,Fortress Consulting,HR,Excel Copilot,Data Export,P3-Medium,Open,CSV export of AI-generated reports truncating fields over 32k characters,Under investigation,,No,No,AGT-117
TKT-10187,2024-07-05,2024-07-07 00:00,55,Fortress Consulting,HR,Word Copilot,Training,P3-Medium,Resolved,Request for admin-led prompt engineering workshop for Finance team leads,Custom training package scheduled; dedicated CSM assigned; delivery timeline confirmed,5,No,No,AGT-110
TKT-10188,2024-11-25,,,Cornerstone Dynamics,Legal,PowerPoint Copilot,Login/Access,P3-Medium,In Progress,SSO integration failing for Azure AD federated users after tenant policy update,Under investigation,,No,No,AGT-116
TKT-10189,2024-08-07,2024-08-08 00:00,39,Fortress Consulting,Executive,Word Copilot,Data Export,P3-Medium,Resolved,Bulk export of meeting recaps timing out for calls over 90 minutes,Export API pagination issue resolved in latest build; hotfix deployed to production tenant,5,No,Yes,AGT-107
TKT-10190,2024-12-24,2024-12-25 00:00,34,Vantage Capital LLC,Finance,Word Copilot,Login/Access,P3-Medium,Closed,Service principal permissions insufficient for Copilot Graph API calls,Escalated to Azure AD team; conditional access policy updated; SSO re-validated across all tenants,5,No,No,AGT-102
TKT-10191,2024-10-31,2024-11-02 00:00,56,Fortress Consulting,HR,Outlook Copilot,Data Export,P3-Medium,Resolved,Audit log export missing Copilot interaction metadata for compliance review,Export API pagination issue resolved in latest build; hotfix deployed to production tenant,4,No,No,AGT-111
TKT-10192,2024-08-19,2024-08-20 00:00,39,Cornerstone Dynamics,Sales,Word Copilot,Training,P3-Medium,Resolved,Need recorded training sessions for async delivery to global workforce,Custom training package scheduled; dedicated CSM assigned; delivery timeline confirmed,4,No,No,AGT-110
TKT-10193,2024-09-28,2024-09-29 00:00,43,Vantage Capital LLC,HR,Word Copilot,Integration,P3-Medium,Resolved,Salesforce CRM connector not passing deal context to Copilot prompts,Connector configuration corrected; service principal permissions updated; integration re-tested and validated,5,No,No,AGT-113
TKT-10194,2024-09-12,2024-09-13 00:00,44,Apex Global Partners,HR,Copilot Chat,Bug Report,P4-Low,Resolved,Copilot Chat losing conversation context after 45-minute idle period,Root cause identified in build 24.11.2; patch released; regression testing complete,5,No,No,AGT-107
TKT-10195,2024-09-08,2024-09-10 00:00,59,Cornerstone Dynamics,Sales,Outlook Copilot,Integration,P4-Low,Resolved,Workday HR data not visible to Copilot for org chart queries,Connector configuration corrected; service principal permissions updated; integration re-tested and validated,5,No,No,AGT-108
TKT-10196,2024-08-29,2024-08-29 00:00,14,Fortress Consulting,Finance,Outlook Copilot,Login/Access,P3-Medium,Resolved,Conditional Access policy blocking Copilot access for 47 users post-migration,Escalated to Azure AD team; conditional access policy updated; SSO re-validated across all tenants,4,No,No,AGT-104
TKT-10197,2024-12-15,2024-12-15 00:00,5,Fortress Consulting,Finance,Word Copilot,Data Export,P1-Critical,Closed,Audit log export missing Copilot interaction metadata for compliance review,Export API pagination issue resolved in latest build; hotfix deployed to production tenant,5,No,No,AGT-111
TKT-10198,2024-08-29,2024-08-29 00:00,12,Meridian Financial Group,Legal,PowerPoint Copilot,Billing,P3-Medium,Resolved,Enterprise agreement discount not applied to Q4 renewal invoice,Billing team issued corrected invoice; credit applied to next billing cycle; account reconciled,5,No,No,AGT-102
TKT-10199,2024-07-10,2024-07-11 00:00,26,Apex Global Partners,Legal,Teams Premium,Bug Report,P4-Low,Resolved,Meeting recap incorrectly attributing speaker turns in multi-language calls,Root cause identified in build 24.11.2; patch released; regression testing complete,5,No,No,AGT-110
TKT-10200,2024-08-04,2024-08-10 00:00,153,Fortress Consulting,Sales,Word Copilot,Compliance,P4-Low,Closed,Audit log gaps in Copilot interaction history during December maintenance window,Configuration corrected; data residency verified; compliance team signed off; incident documented for SOC2 review,4,No,Yes,AGT-111
TKT-10201,2024-07-04,2024-07-08 00:00,110,Cornerstone Dynamics,Legal,Excel Copilot,Data Export,P4-Low,Resolved,Bulk export of meeting recaps timing out for calls over 90 minutes,Export API pagination issue resolved in latest build; hotfix deployed to production tenant,5,No,No,AGT-106
TKT-10202,2024-11-09,2024-11-13 00:00,107,Vantage Capital LLC,Executive,Word Copilot,API Error,P4-Low,Resolved,REST API call to Copilot summarization endpoint returning 503 intermittently,Rate limiting increased for enterprise tier; throttling configuration updated in gateway,5,No,No,AGT-105
TKT-10203,2024-10-07,2024-10-08 00:00,38,Apex Global Partners,IT,Teams Premium,Compliance,P3-Medium,Closed,Audit log gaps in Copilot interaction history during December maintenance window,Configuration corrected; data residency verified; compliance team signed off; incident documented for SOC2 review,5,No,No,AGT-119
TKT-10204,2024-07-16,2024-07-16 00:00,7,Cornerstone Dynamics,Legal,Excel Copilot,API Error,P1-Critical,Resolved,REST API call to Copilot summarization endpoint returning 503 intermittently,Rate limiting increased for enterprise tier; throttling configuration updated in gateway,4,No,No,AGT-117
TKT-10205,2024-08-26,2024-08-27 00:00,36,Cornerstone Dynamics,HR,PowerPoint Copilot,Billing,P3-Medium,Resolved,Enterprise agreement discount not applied to Q4 renewal invoice,Billing team issued corrected invoice; credit applied to next billing cycle; account reconciled,3,No,No,AGT-112
TKT-10206,2024-12-18,2024-12-21 00:00,79,Vantage Capital LLC,Executive,PowerPoint Copilot,Bug Report,P4-Low,Resolved,Meeting recap incorrectly attributing speaker turns in multi-language calls,Root cause identified in build 24.11.2; patch released; regression testing complete,5,No,Yes,AGT-117
TKT-10207,2024-07-29,,,Cornerstone Dynamics,IT,PowerPoint Copilot,Compliance,P3-Medium,Open,Retention policy not applied to Copilot-generated meeting summaries in Teams,Under investigation,,No,No,AGT-119
TKT-10208,2024-10-22,,,Cornerstone Dynamics,Executive,PowerPoint Copilot,Training,P2-High,In Progress,"Need role-specific Copilot training tracks for Sales, Legal, and Operations",Under investigation,,No,No,AGT-116
TKT-10209,2024-10-25,,,Vantage Capital LLC,Executive,Copilot Chat,Performance,P4-Low,Open,Excel Copilot formula generation stalling on sheets with 100k+ rows,Under investigation,,No,No,AGT-119
TKT-10210,2024-10-10,2024-10-11 00:00,40,Cornerstone Dynamics,Legal,Copilot Chat,Login/Access,P3-Medium,Resolved,MFA bypass not working for service accounts in Production environment,Escalated to Azure AD team; conditional access policy updated; SSO re-validated across all tenants,5,No,Yes,AGT-114
TKT-10211,2024-10-29,2024-10-30 00:00,32,Fortress Consulting,IT,Copilot Chat,Feature Request,P4-Low,Resolved,Require ability to restrict Copilot to approved document libraries only,Added to product roadmap Q2 2025; customer success team to provide ETA confirmation,3,No,No,AGT-114
TKT-10212,2024-10-05,,,Vantage Capital LLC,Operations,Word Copilot,Feature Request,P4-Low,In Progress,Need multilingual support for Copilot prompts in Japanese and German,Under investigation,,No,No,AGT-112
TKT-10213,2024-08-02,2024-08-02 00:00,11,Fortress Consulting,Operations,PowerPoint Copilot,Performance,P2-High,Resolved,Copilot response latency exceeding 8 seconds during peak trading hours 9-11am EST,Routing configuration updated; load balancing adjusted; performance restored to SLA within 4 hours,5,No,No,AGT-118
TKT-10214,2024-09-27,2024-09-28 00:00,27,Apex Global Partners,Finance,Word Copilot,Bug Report,P3-Medium,Resolved,Word Copilot rewrite function stripping tracked changes without user confirmation,Root cause identified in build 24.11.2; patch released; regression testing complete,5,No,Yes,AGT-102
TKT-10215,2024-07-18,,,Meridian Financial Group,Finance,Excel Copilot,Bug Report,P3-Medium,Open,Copilot in Teams meeting generating duplicate action items for recurring calls,Under investigation,,No,No,AGT-120
TKT-10216,2024-08-29,2024-08-29 00:00,21,Meridian Financial Group,Operations,Word Copilot,Login/Access,P2-High,Resolved,SSO integration failing for Azure AD federated users after tenant policy update,Escalated to Azure AD team; conditional access policy updated; SSO re-validated across all tenants,3,Yes,No,AGT-108
TKT-10217,2024-09-21,2024-09-22 00:00,38,Fortress Consulting,Executive,Outlook Copilot,API Error,P3-Medium,Resolved,Webhook payload for Copilot events missing required fields per new schema version,Rate limiting increased for enterprise tier; throttling configuration updated in gateway,5,No,No,AGT-108
TKT-10218,2024-08-14,,,Meridian Financial Group,Sales,PowerPoint Copilot,Bug Report,P3-Medium,Open,Copilot Chat losing conversation context after 45-minute idle period,Under investigation,,No,Yes,AGT-112
TKT-10219,2024-10-13,2024-10-15 00:00,62,Cornerstone Dynamics,Legal,Word Copilot,Bug Report,P4-Low,Resolved,Copilot Chat losing conversation context after 45-minute idle period,Root cause identified in build 24.11.2; patch released; regression testing complete,4,No,No,AGT-116
TKT-10220,2024-08-06,2024-08-11 00:00,142,Cornerstone Dynamics,Executive,Outlook Copilot,Integration,P4-Low,Resolved,Workday HR data not visible to Copilot for org chart queries,Connector configuration corrected; service principal permissions updated; integration re-tested and validated,4,No,No,AGT-118
TKT-10221,2024-09-23,2024-09-24 00:00,24,Apex Global Partners,HR,Excel Copilot,Training,P2-High,Resolved,Onboarding documentation out of date - reflects pre-GA feature set,Custom training package scheduled; dedicated CSM assigned; delivery timeline confirmed,5,Yes,Yes,AGT-118
TKT-10222,2024-12-02,2024-12-02 00:00,5,Vantage Capital LLC,Legal,PowerPoint Copilot,Integration,P2-High,Resolved,ServiceNow ticket data not accessible in Copilot Chat despite permissions granted,Connector configuration corrected; service principal permissions updated; integration re-tested and validated,5,No,No,AGT-118
TKT-10223,2024-08-24,,,Cornerstone Dynamics,HR,Copilot Chat,Integration,P3-Medium,In Progress,Salesforce CRM connector not passing deal context to Copilot prompts,Under investigation,,No,No,AGT-108
TKT-10224,2024-09-21,2024-09-25 00:00,96,Vantage Capital LLC,Finance,PowerPoint Copilot,API Error,P4-Low,Closed,REST API call to Copilot summarization endpoint returning 503 intermittently,Rate limiting increased for enterprise tier; throttling configuration updated in gateway,5,No,No,AGT-110
TKT-10225,2024-10-29,2024-10-31 00:00,48,Vantage Capital LLC,Operations,Copilot Chat,Billing,P3-Medium,Resolved,Seat reallocation after M&A not reflected in current billing cycle,Billing team issued corrected invoice; credit applied to next billing cycle; account reconciled,4,No,Yes,AGT-119
TKT-10226,2024-11-27,2024-12-02 00:00,130,Meridian Financial Group,HR,PowerPoint Copilot,Integration,P4-Low,Resolved,ServiceNow ticket data not accessible in Copilot Chat despite permissions granted,Connector configuration corrected; service principal permissions updated; integration re-tested and validated,4,No,No,AGT-113
